-0.0001478284,0.00085937,,1.9998528927,1.0008551414,,2,1
-0.0001478284,0.00085937,,1.9998528927,1.0008551414,,3,1
0.0016307875,0.0009064963,,2.0016315096,1.0009020451,,4,2
0.0108199795,0.0011123512,,2.0069230494,1.0010174274,,4,3
0.0277815829,0.0015053673,,2.0256001322,1.00135223,,4,4
0.041172692,0.0018214125,,2.0406214196,1.0015804551,,5,5
0.0677965721,0.0024101517,,2.055642704,1.0017772221,,6,4
0.0877251361,0.0028638025,,2.0706628637,1.0019447817,,6,3
0.1010667718,0.0032872155,,2.0807257549,1.0020419233,,7,2
0.1276049979,0.0042767275,,2.1007001464,1.0022018526,,,
0.1475484938,0.005110159,,2.1157172543,1.0022951852,,,
0.1674885571,0.006048583,,2.1307332707,1.002367931,,,
0.1874315001,0.0070696986,,2.1457484202,1.0024218074,,,
0.2007922149,0.0077964258,,2.1558081295,1.002448081,,,
0.2273179711,0.0093300141,,2.175776552,1.0024787213,,,
0.2472525426,0.0105490078,,2.190789576,1.0024840496,,,
0.2671830982,0.0118463782,,2.2058020941,1.0024755854,,,
0.2871147464,0.0132056426,,2.2208139485,1.0024540786,,,
0.3004676442,0.0141481941,,2.2308715362,1.0024330425,,,
0.326975845,0.0160873449,,2.2508361253,1.0023770935,,,
0.3468988612,0.0175946029,,2.2658476054,1.002324418,,,
0.3668179852,0.0191604839,,2.2808591997,1.0022576538,,,
0.3867373324,0.0207727299,,2.2958703408,1.0021799933,,,
0.4000820518,0.0218766772,,2.3059275658,1.0021223642,,,
0.4265730191,0.0241187883,,2.3258914543,1.0019954465,,,
0.4464848257,0.0258411005,,2.3359482332,1.001925405,,,
0.4663546877,0.0276288307,,2.3559112811,1.0017749721,,,
0.4862449693,0.0295397561,,2.3709208144,1.001652175,,,
0.499599263,0.0308018769,,2.3809770901,1.0015653976,,,
0.5260729684,0.0333195045,,2.400939375,1.0013825904,,,
0.5459727734,0.0352365831,,2.4159480341,1.0012361718,,,
0.5658700923,0.0371830463,,2.4309487398,1.0010871239,,,
0.5857670026,0.0391527459,,2.4459455428,1.0009499607,,,
0.5990969126,0.0404845021,,2.4609430135,1.0008253187,,,
0.6255956257,0.0431331706,,2.4759410973,1.0007122104,,,
0.638913234,0.04442015,,2.4909399762,1.0006098155,,,
0.6653274424,0.0471590256,,2.5059394373,1.000516941,,,
0.6851733074,0.0492367588,,2.5159894016,1.0004597303,,,
