x,y,z,roll,pitch,yaw,CMD,CMD2
-3.761886144350215e-05,0.0001147001163219507,-0.0010013928700886472,-0.0008090060437098145,0.44153404235839844,0.10315803438425064,0.0,0.0
-3.761886144350215e-05,0.0001147001163219507,-0.0010013928700886472,-0.0008090060437098145,0.44153404235839844,0.10315803438425064,0.0,0.0
-3.76222234059094e-05,0.00011471968936349521,-0.0010013928700881233,-0.0008090060437098145,0.44153404235839844,0.10315803438425064,0.0,0.0
-3.76222234059094e-05,0.00011471968936349521,-0.0010013928700881233,-0.0008090060437098145,0.44153404235839844,0.10315803438425064,0.0,0.0
-3.76222234059094e-05,0.00011471968936349521,-0.0010013928700881233,-0.0008090060437098145,0.44153404235839844,0.10315803438425064,0.0,0.0
-3.7625486493377165e-05,0.00011473868672590892,-0.0010013928700876064,-0.0008090060437098145,0.44153404235839844,0.10317572206258774,0.0,0.0
-3.7625486493377165e-05,0.00011473868672590892,-0.0010013928700876064,-0.0008090060437098145,0.44153404235839844,0.10317572206258774,0.0,0.0
-3.7625486493377165e-05,0.00011473868672590892,-0.0010013928700876064,-0.0008090060437098145,0.44153404235839844,0.10317572206258774,0.0,0.0
-3.7625486493377165e-05,0.00011473868672590892,-0.0010013928700876064,-0.0008090060437098145,0.44153404235839844,0.10317572206258774,0.0,0.0
-3.7628749587053506e-05,0.00011475768408686494,-0.0010013928700870964,-0.0008090060437098145,0.44153404235839844,0.10317572206258774,0.0,0.0
-3.7628749587053506e-05,0.00011475768408686494,-0.0010013928700870964,-0.0008090060437098145,0.44153404235839844,0.10321006178855896,0.0,0.0
-3.7628749587053506e-05,0.00011475768408686494,-0.0010013928700870964,-0.0008090060437098145,0.44153404235839844,0.10321006178855896,0.0,0.0
-3.763211156885063e-05,0.00011477725712394176,-0.0010013928700865725,-0.0008090060437098145,0.44153404235839844,0.10321006178855896,0.0,0.0
-3.763211156885063e-05,0.00011477725712394176,-0.0010013928700865725,-0.0008090060437098145,0.44153404235839844,0.10321006178855896,0.0,0.0
-3.763211156885063e-05,0.00011477725712394176,-0.0010013928700865725,-0.0008090060437098145,0.44153404235839844,0.10322774946689606,0.0,0.0
-3.763537467513581e-05,0.00011479625448200637,-0.0010013928700860729,-0.0008090060437098145,0.44153404235839844,0.10322774946689606,0.0,0.0
-3.763537467513581e-05,0.00011479625448200637,-0.0010013928700860729,-0.0008090060437098145,0.44153404235839844,0.10324492305517197,0.0,0.0
-3.763537467513581e-05,0.00011479625448200637,-0.0010013928700860729,-0.0008090060437098145,0.44153404235839844,0.10324492305517197,0.0,0.0
-3.763537467513581e-05,0.00011479625448200637,-0.0010013928700860729,-0.0008090060437098145,0.44153404235839844,0.10324492305517197,0.0,0.0
-3.76386377876365e-05,0.00011481525183864349,-0.0010013928700855594,-0.0008090060437098145,0.44153404235839844,0.10324492305517197,0.0,0.0
-3.76386377876365e-05,0.00011481525183864349,-0.0010013928700855594,-0.0008090060437098145,0.44153404235839844,0.10326209664344788,0.0,0.0
-3.76386377876365e-05,0.00011481525183864349,-0.0010013928700855594,-0.0008090060437098145,0.44153404235839844,0.10326209664344788,0.0,0.0
-3.7641999788829567e-05,0.00011483482487126281,-0.0010013928700850251,-0.0008090060437098145,0.44153404235839844,0.10326209664344788,0.0,0.0
-3.7641999788829567e-05,0.00011483482487126281,-0.0010013928700850251,-0.0008090060437098145,0.44153404235839844,0.10326209664344788,0.0,0.0
-3.7641999788829567e-05,0.00011483482487126281,-0.0010013928700850251,-0.0008090060437098145,0.44153404235839844,0.10327978432178497,0.0,0.0
-3.764526291393389e-05,0.00011485382222500007,-0.001001392870084529,-0.0008090060437098145,0.44153404235839844,0.10327978432178497,0.0,0.0
-3.764526291393389e-05,0.00011485382222500007,-0.001001392870084529,-0.0008090060437098145,0.44153404235839844,0.10327978432178497,0.0,0.0
-3.764526291393389e-05,0.00011485382222500007,-0.001001392870084529,-0.0008090060437098145,0.44153404235839844,0.10327978432178497,0.0,0.0
-3.764526291393389e-05,0.00011485382222500007,-0.001001392870084529,-0.0008090060437098145,0.44153404235839844,0.10327978432178497,0.0,0.0
-3.764852604525547e-05,0.00011487281957731725,-0.0010013928700840155,-0.0008090060437098145,0.44153404235839844,0.10329695045948029,0.0,0.0
-3.764852604525547e-05,0.00011487281957731725,-0.0010013928700840155,-0.0008090060437098145,0.44153404235839844,0.10329695045948029,0.0,0.0
-3.764852604525547e-05,0.00011487281957731725,-0.0010013928700840155,-0.0008090060437098145,0.44153404235839844,0.10329695045948029,0.0,0.0
-3.7651888065834936e-05,0.00011489239260546586,-0.0010013928700834916,-0.0008090060437098145,0.44153404235839844,0.10329695045948029,0.0,0.0
-3.7651888065834936e-05,0.00011489239260546586,-0.0010013928700834916,-0.0008090060437098145,0.44153404235839844,0.10333181172609329,0.0,0.0
-3.7651888065834936e-05,0.00011489239260546586,-0.0010013928700834916,-0.0008090060437098145,0.44153404235839844,0.10333181172609329,0.0,0.0
-3.765515120975928e-05,0.00011491138995486847,-0.001001392870082985,-0.0008090060437098145,0.44153404235839844,0.10333181172609329,0.0,0.0
-3.765515120975928e-05,0.00011491138995486847,-0.001001392870082985,-0.0008090060437098145,0.44153404235839844,0.10333181172609329,0.0,0.0
-3.765515120975928e-05,0.00011491138995486847,-0.001001392870082985,-0.0008090060437098145,0.44153404235839844,0.10333181172609329,0.0,0.0
-3.765515120975928e-05,0.00011491138995486847,-0.001001392870082985,-0.0008090060437098145,0.44153404235839844,0.1033489853143692,0.0,0.0
